Datetime,MWh_N,MWh_NE,MWh_S,MWh_SE
2117,189277133.869,306262809.041,289531321.949,347410665.159
2118,190696560.248,308446516.078,291491380.16,347410665.159
2119,192115986.626,310630223.115,293451438.371,347410665.159
2120,193535413.005,312813930.152,295411496.583,347410665.159
2121,194954839.383,314997637.189,297371554.794,347410665.159
2122,196374265.762,317181344.226,299331613.005,347410665.159
2123,197793692.14,319365051.263,301291671.216,347410665.159
2124,199213118.519,321548758.3,303251729.427,347410665.159
2125,200632544.897,323732465.337,305211787.639,347410665.159
2126,202051971.275,325916172.374,307171845.85,347410665.159
2127,203471397.654,328099879.412,309131904.061,347410665.159
2128,204890824.032,330283586.449,311091962.272,347410665.159
2129,206310250.411,332467293.486,313052020.483,347410665.159
2130,207729676.789,334651000.523,315012078.695,347410665.159
2131,209149103.168,336834707.56,316972136.906,347410665.159
2132,210568529.546,339018414.597,318932195.117,347410665.159
2133,211987955.925,341202121.634,320892253.328,347410665.159
2134,213407382.303,343385828.671,322852311.539,347410665.159
2135,214826808.682,345569535.708,324812369.751,347410665.159
2136,216246235.06,347753242.745,326772427.962,347410665.159
2137,217665661.439,349936949.782,328732486.173,347410665.159
2138,219085087.817,352120656.819,330692544.384,347410665.159
2139,220504514.195,354304363.856,332652602.595,347410665.159
2140,221923940.574,356488070.893,334612660.807,347410665.159
2141,223343366.952,358671777.931,336572719.018,347410665.159
2142,224762793.331,360855484.968,338532777.229,347410665.159
2143,226182219.709,363039192.005,340492835.44,347410665.159
2144,227601646.088,365222899.042,342452893.651,347410665.159
2145,229021072.466,367406606.079,344412951.863,347410665.159
2146,230440498.845,369590313.116,346373010.074,347410665.159
2147,231859925.223,371774020.153,348333068.285,347410665.159
2148,233279351.602,373957727.19,350293126.496,347410665.159
2149,234698777.98,376141434.227,352253184.707,347410665.159
2150,236118204.359,378325141.264,354213242.919,347410665.159
2151,237537630.737,380508848.301,356173301.13,347410665.159
2152,238957057.115,382692555.338,358133359.341,347410665.159
2153,240376483.494,384876262.375,360093417.552,347410665.159
2154,241795909.872,387059969.412,362053475.763,347410665.159
2155,243215336.251,389243676.45,364013533.975,347410665.159
2156,244634762.629,391427383.487,365973592.186,347410665.159
2157,246054189.008,393611090.524,367933650.397,347410665.159
2158,247473615.386,395794797.561,369893708.608,347410665.159
2159,248893041.765,397978504.598,371853766.819,347410665.159
2160,250312468.143,400162211.635,373813825.031,347410665.159
2161,251731894.522,402345918.672,375773883.242,347410665.159
2162,253151320.9,404529625.709,377733941.453,347410665.159
2163,254570747.278,406713332.746,379693999.664,347410665.159
2164,255990173.657,408897039.783,381654057.875,347410665.159
2165,257409600.035,411080746.82,383614116.087,347410665.159
2166,258829026.414,413264453.857,385574174.298,347410665.159
2167,260248452.792,415448160.894,387534232.509,347410665.159
2168,261667879.171,417631867.931,389494290.72,347410665.159
2169,263087305.549,419815574.969,391454348.931,347410665.159
2170,264506731.928,421999282.006,393414407.143,347410665.159
2171,265926158.306,424182989.043,395374465.354,347410665.159
2172,267345584.685,426366696.08,397334523.565,347410665.159
2173,268765011.063,428550403.117,399294581.776,347410665.159
2174,270184437.442,430734110.154,401254639.987,347410665.159
2175,271603863.82,432917817.191,403214698.199,347410665.159
2176,273023290.198,435101524.228,405174756.41,347410665.159
2177,274442716.577,437285231.265,407134814.621,347410665.159
2178,275862142.955,439468938.302,409094872.832,347410665.159
2179,277281569.334,441652645.339,411054931.043,347410665.159
2180,278700995.712,443836352.376,413014989.255,347410665.159
2181,280120422.091,446020059.413,414975047.466,347410665.159
2182,281539848.469,448203766.45,416935105.677,347410665.159
2183,282959274.848,450387473.488,418895163.888,347410665.159
2184,284378701.226,452571180.525,420855222.099,347410665.159
2185,285798127.605,454754887.562,422815280.311,347410665.159
2186,287217553.983,456938594.599,424775338.522,347410665.159
2187,288636980.362,459122301.636,426735396.733,347410665.159
2188,290056406.74,461306008.673,428695454.944,347410665.159
2189,291475833.118,463489715.71,430655513.155,347410665.159
2190,292895259.497,465673422.747,432615571.367,347410665.159
2191,294314685.875,467857129.784,434575629.578,347410665.159
2192,295734112.254,470040836.821,436535687.789,347410665.159
2193,297153538.632,472224543.858,438495746.0,347410665.159
2194,298572965.011,474408250.895,440455804.211,347410665.159
2195,299992391.389,476591957.932,442415862.423,347410665.159
2196,301411817.768,478775664.969,444375920.634,347410665.159
2197,302831244.146,480959372.007,446335978.845,347410665.159
2198,304250670.525,483143079.044,448296037.056,347410665.159
2199,305670096.903,485326786.081,450256095.267,347410665.159
2200,307089523.282,487510493.118,452216153.479,347410665.159
2201,308508949.66,489694200.155,454176211.69,347410665.159
2202,309928376.038,491877907.192,456136269.901,347410665.159
2203,311347802.417,494061614.229,458096328.112,347410665.159
2204,312767228.795,496245321.266,460056386.323,347410665.159
2205,314186655.174,498429028.303,462016444.535,347410665.159
2206,315606081.552,500612735.34,463976502.746,347410665.159
2207,317025507.931,502796442.377,465936560.957,347410665.159
2208,318444934.309,504980149.414,467896619.168,347410665.159
2209,319864360.688,507163856.451,469856677.379,347410665.159
2210,321283787.066,509347563.488,471816735.591,347410665.159
2211,322703213.445,511531270.526,473776793.802,347410665.159
2212,324122639.823,513714977.563,475736852.013,347410665.159
2213,325542066.202,515898684.6,477696910.224,347410665.159
2214,326961492.58,518082391.637,479656968.435,347410665.159
2215,328380918.958,520266098.674,481617026.647,347410665.159
2216,329800345.337,522449805.711,483577084.858,347410665.159
2217,331219771.715,524633512.748,485537143.069,347410665.159
2218,332639198.094,526817219.785,487497201.28,347410665.159
2219,334058624.472,529000926.822,489457259.491,347410665.159
2220,335478050.851,531184633.859,491417317.703,347410665.159
2221,336897477.229,533368340.896,493377375.914,347410665.159
2222,338316903.608,535552047.933,495337434.125,347410665.159
2223,339736329.986,537735754.97,497297492.336,347410665.159
2224,341155756.365,539919462.007,499257550.547,347410665.159
2225,342575182.743,542103169.045,501217608.759,347410665.159
2226,343994609.122,544286876.082,503177666.97,347410665.159
2227,345414035.5,546470583.119,505137725.181,347410665.159
2228,346833461.878,548654290.156,507097783.392,347410665.159
2229,348252888.257,550837997.193,509057841.603,347410665.159
2230,349672314.635,553021704.23,511017899.815,347410665.159
2231,351091741.014,555205411.267,512977958.026,347410665.159
2232,352511167.392,557389118.304,514938016.237,347410665.159
2233,353930593.771,559572825.341,516898074.448,347410665.159
2234,355350020.149,561756532.378,518858132.659,347410665.159
