Datetime,MWh_N,MWh_NE,MWh_S,MWh_SE
2507,742853421.469,1157908553.499,1053954024.317,347410665.159
2508,744272847.847,1160092260.536,1055914082.528,347410665.159
2509,745692274.226,1162275967.573,1057874140.739,347410665.159
2510,747111700.604,1164459674.61,1059834198.95,347410665.159
2511,748531126.983,1166643381.647,1061794257.162,347410665.159
2512,749950553.361,1168827088.684,1063754315.373,347410665.159
2513,751369979.74,1171010795.721,1065714373.584,347410665.159
2514,752789406.118,1173194502.758,1067674431.795,347410665.159
2515,754208832.497,1175378209.795,1069634490.006,347410665.159
2516,755628258.875,1177561916.832,1071594548.218,347410665.159
2517,757047685.254,1179745623.869,1073554606.429,347410665.159
2518,758467111.632,1181929330.906,1075514664.64,347410665.159
2519,759886538.01,1184113037.943,1077474722.851,347410665.159
2520,761305964.389,1186296744.981,1079434781.062,347410665.159
2521,762725390.767,1188480452.018,1081394839.274,347410665.159
2522,764144817.146,1190664159.055,1083354897.485,347410665.159
